reaction number,reaction,reaction rate,description,simplified_reaction,simplified_reaction_rate,equations,simplified_equations
11,[Blood-Lymph].Effector_TB -> null,EffT_Turnover*[Blood-Lymph].Effector_TB,The natural turnover of Effector T cells in the blood,alpha.DZ -> null,EffT_Turnover*alpha.DZ,-[Blood-Lymph].Effector_TB  =  EffT_Turnover*[Blood-Lymph].Effector_TB,-alpha.DZ  =  EffT_Turnover*alpha.DZ
12,[Blood-Lymph].Effector_TB -> Peripheral.EffT_P_f_Vasc,QC_Periph*[Blood-Lymph].Effector_TB/Vc_Teff,Trafficking of free Effector T cells from blood to Peripheral (other tissues not directly accounted for) vasculature,alpha.DZ -> epsilon.DP,QC_Periph*alpha.DZ/Vc_Teff,-[Blood-Lymph].Effector_TB  =  Peripheral.EffT_P_f_Vasc = QC_Periph*[Blood-Lymph].Effector_TB/Vc_Teff,-alpha.DZ  =  epsilon.DP = QC_Periph*alpha.DZ/Vc_Teff
13,[Blood-Lymph].Effector_TB -> Tumor.EffT_f_Vasc,QC_Tmr*TCytokineHoming*[Blood-Lymph].Effector_TB/Vc_Teff,Trafficking of free Effector T cells from blood to Tumor vasculature,alpha.DZ -> zeta.DW,QC_Tmr*TCytokineHoming*alpha.DZ/Vc_Teff,-[Blood-Lymph].Effector_TB  =  Tumor.EffT_f_Vasc = QC_Tmr*TCytokineHoming*[Blood-Lymph].Effector_TB/Vc_Teff,-alpha.DZ  =  zeta.DW = QC_Tmr*TCytokineHoming*alpha.DZ/Vc_Teff
14,[Blood-Lymph].PD1_mabb <-> Lymph_Node.PD1_mab,Kpa_LNB*S_LNB*VL*f_LN_PD1*([Blood-Lymph].PD1_mabb/Vc_PD1-Lymph_Node.PD1_mab/VL),Distribution of Anti-PD-1 mAb between the central and lymph node compartments,alpha.FJ <-> delta.FD,Kpa_LNB*S_LNB*VL*f_LN_PD1*(alpha.FJ/Vc_PD1-delta.FD/VL),-[Blood-Lymph].PD1_mabb  =  Lymph_Node.PD1_mab = Kpa_LNB*S_LNB*VL*f_LN_PD1*([Blood-Lymph].PD1_mabb/Vc_PD1-Lymph_Node.PD1_mab/VL),-alpha.FJ  =  delta.FD = Kpa_LNB*S_LNB*VL*f_LN_PD1*(alpha.FJ/Vc_PD1-delta.FD/VL)
15,[Blood-Lymph].PD1_mabb <-> Peripheral.PD1_mabP_leaky,0.67*Q_L*PD1_mabb*(1-Sigma1_PD1)/Vc_PD1-(Peripheral.PD1_mabP_leaky/(0.35*ISF*KP_PD1))*0.33*Q_L*(1- Sigma1_PD1),Distribution of Anti-PD-1 mAb between the central and leaky tissues,alpha.FJ <-> epsilon.FG,0.67*Q_L*FJ*(1-Sigma1_PD1)/Vc_PD1-(epsilon.FG/(0.35*ISF*KP_PD1))*0.33*Q_L*(1- Sigma1_PD1),-[Blood-Lymph].PD1_mabb  =  Peripheral.PD1_mabP_leaky = 0.67*Q_L*PD1_mabb*(1-Sigma1_PD1)/Vc_PD1-(Peripheral.PD1_mabP_leaky/(0.35*ISF*KP_PD1))*0.33*Q_L*(1- Sigma1_PD1),-alpha.FJ  =  epsilon.FG = 0.67*Q_L*FJ*(1-Sigma1_PD1)/Vc_PD1-(epsilon.FG/(0.35*ISF*KP_PD1))*0.33*Q_L*(1- Sigma1_PD1)
16,[Blood-Lymph].PD1_mabb <-> Peripheral.PD1_mabP_tight,0.33*Q_L*[Blood-Lymph].PD1_mabb*(1-Sigma2_PD1)/Vc_PD1-(Peripheral.PD1_mabP_tight/(0.65*ISF*KP_PD1))*0.33*Q_L*(1-Sigma2_PD1),Distribution of Anti-PD-1 mAb between the central and tight tissues,alpha.FJ <-> epsilon.FH,0.33*Q_L*alpha.FJ*(1-Sigma2_PD1)/Vc_PD1-(epsilon.FH/(0.65*ISF*KP_PD1))*0.33*Q_L*(1-Sigma2_PD1),-[Blood-Lymph].PD1_mabb  =  Peripheral.PD1_mabP_tight = 0.33*Q_L*[Blood-Lymph].PD1_mabb*(1-Sigma2_PD1)/Vc_PD1-(Peripheral.PD1_mabP_tight/(0.65*ISF*KP_PD1))*0.33*Q_L*(1-Sigma2_PD1),-alpha.FJ  =  epsilon.FH = 0.33*Q_L*alpha.FJ*(1-Sigma2_PD1)/Vc_PD1-(epsilon.FH/(0.65*ISF*KP_PD1))*0.33*Q_L*(1-Sigma2_PD1)
17,[Blood-Lymph].PD1_mabb <-> Tumor.PD1_mabt,Kpa_TB*S_TB*Vt_avg_const*[Blood-Lymph].PD1_mabb/Vc_PD1-Kpa_TB*S_TB*Vt_avg_const*Tumor.PD1_mabt/(Vex_Tmr),Distribution of Anti-PD-1 mAb between the central and tumor compartments,alpha.FJ <-> zeta.FK,Kpa_TB*S_TB*Vt_avg_const*alpha.FJ/Vc_PD1-Kpa_TB*S_TB*Vt_avg_const*zeta.FK/(Vex_Tmr),-[Blood-Lymph].PD1_mabb  =  Tumor.PD1_mabt = Kpa_TB*S_TB*Vt_avg_const*[Blood-Lymph].PD1_mabb/Vc_PD1-Kpa_TB*S_TB*Vt_avg_const*Tumor.PD1_mabt/(Vex_Tmr),-alpha.FJ  =  zeta.FK = Kpa_TB*S_TB*Vt_avg_const*alpha.FJ/Vc_PD1-Kpa_TB*S_TB*Vt_avg_const*zeta.FK/(Vex_Tmr)
18,[Blood-Lymph].PD1_mabb -> null,(Cl_PD1/Vc_PD1)*[Blood-Lymph].PD1_mabb,Clearance of Anti-PD-1 mAb from the central compartment,alpha.FJ -> null,(Cl_PD1/Vc_PD1)*alpha.FJ,-[Blood-Lymph].PD1_mabb  =  (Cl_PD1/Vc_PD1)*[Blood-Lymph].PD1_mabb,-alpha.FJ  =  (Cl_PD1/Vc_PD1)*alpha.FJ
19,[Blood-Lymph].PDL1_mabb <-> Lymph_Node.PDL1_mab,Kpa_LNB*S_LNB*VL*f_LN_PD1*([Blood-Lymph].PDL1_mabb/Vc_PDL1-Lymph_Node.PDL1_mab/VL),Distribution of Anti-PD-L1 mAb between the central and lymph node compartments,alpha.GH <-> delta.GB,Kpa_LNB*S_LNB*VL*f_LN_PD1*(alpha.GH/Vc_PDL1-delta.GB/VL),-[Blood-Lymph].PDL1_mabb  =  Lymph_Node.PDL1_mab = Kpa_LNB*S_LNB*VL*f_LN_PD1*([Blood-Lymph].PDL1_mabb/Vc_PDL1-Lymph_Node.PDL1_mab/VL),-alpha.GH  =  delta.GB = Kpa_LNB*S_LNB*VL*f_LN_PD1*(alpha.GH/Vc_PDL1-delta.GB/VL)
20,[Blood-Lymph].PDL1_mabb <-> Peripheral.PDL1_mabP_leaky,0.67*Q_L*PDL1_mabb*(1-Sigma1_PDL1)/Vc_PDL1-(Peripheral.PDL1_mabP_leaky/(0.35*ISF*KP_PDL1))*0.33*Q_L*(1-Sigma1_PDL1),Distribution of Anti-PD-L1 mAb between the central and leaky tissues,alpha.GH <-> epsilon.GE,0.67*Q_L*GH*(1-Sigma1_PDL1)/Vc_PDL1-(epsilon.GE/(0.35*ISF*KP_PDL1))*0.33*Q_L*(1-Sigma1_PDL1),-[Blood-Lymph].PDL1_mabb  =  Peripheral.PDL1_mabP_leaky = 0.67*Q_L*PDL1_mabb*(1-Sigma1_PDL1)/Vc_PDL1-(Peripheral.PDL1_mabP_leaky/(0.35*ISF*KP_PDL1))*0.33*Q_L*(1-Sigma1_PDL1),-alpha.GH  =  epsilon.GE = 0.67*Q_L*GH*(1-Sigma1_PDL1)/Vc_PDL1-(epsilon.GE/(0.35*ISF*KP_PDL1))*0.33*Q_L*(1-Sigma1_PDL1)
21,[Blood-Lymph].PDL1_mabb <-> Peripheral.PDL1_mabP_tight,0.33*Q_L*[Blood-Lymph].PDL1_mabb*(1-Sigma2_PDL1)/Vc_PDL1-(Peripheral.PDL1_mabP_tight/(0.65*ISF*KP_PDL1))*0.33*Q_L*(1-Sigma2_PDL1),Distribution of Anti-PD-L1 mAb between the central and tight tissues,alpha.GH <-> epsilon.GF,0.33*Q_L*alpha.GH*(1-Sigma2_PDL1)/Vc_PDL1-(epsilon.GF/(0.65*ISF*KP_PDL1))*0.33*Q_L*(1-Sigma2_PDL1),-[Blood-Lymph].PDL1_mabb  =  Peripheral.PDL1_mabP_tight = 0.33*Q_L*[Blood-Lymph].PDL1_mabb*(1-Sigma2_PDL1)/Vc_PDL1-(Peripheral.PDL1_mabP_tight/(0.65*ISF*KP_PDL1))*0.33*Q_L*(1-Sigma2_PDL1),-alpha.GH  =  epsilon.GF = 0.33*Q_L*alpha.GH*(1-Sigma2_PDL1)/Vc_PDL1-(epsilon.GF/(0.65*ISF*KP_PDL1))*0.33*Q_L*(1-Sigma2_PDL1)
22,[Blood-Lymph].PDL1_mabb <-> Tumor.PDL1_mabt,Kpa_TB*S_TB*Vt_avg_const*[Blood-Lymph].PDL1_mabb/Vc_PDL1-Kpa_TB*S_TB*Vt_avg_const*Tumor.PDL1_mabt/(Vex_Tmr),Distribution of Anti-PD-L1 mAb between the central and tumor compartments,alpha.GH <-> zeta.GI,Kpa_TB*S_TB*Vt_avg_const*alpha.GH/Vc_PDL1-Kpa_TB*S_TB*Vt_avg_const*zeta.GI/(Vex_Tmr),-[Blood-Lymph].PDL1_mabb  =  Tumor.PDL1_mabt = Kpa_TB*S_TB*Vt_avg_const*[Blood-Lymph].PDL1_mabb/Vc_PDL1-Kpa_TB*S_TB*Vt_avg_const*Tumor.PDL1_mabt/(Vex_Tmr),-alpha.GH  =  zeta.GI = Kpa_TB*S_TB*Vt_avg_const*alpha.GH/Vc_PDL1-Kpa_TB*S_TB*Vt_avg_const*zeta.GI/(Vex_Tmr)
23,[Blood-Lymph].PDL1_mabb -> null,(Cl_PDL1/Vc_PDL1)*[Blood-Lymph].PDL1_mabb,Clearance of Anti-PD-L1 mAb from the central compartment,alpha.GH -> null,(Cl_PDL1/Vc_PDL1)*alpha.GH,-[Blood-Lymph].PDL1_mabb  =  (Cl_PDL1/Vc_PDL1)*[Blood-Lymph].PDL1_mabb,-alpha.GH  =  (Cl_PDL1/Vc_PDL1)*alpha.GH
24,[Blood-Lymph].PDL1_mabb -> null,(Vm/Durvalumab_MW)*[Blood-Lymph].PDL1_mabb/(Km*Vc_PDL1/Durvalumab_MW+[Blood-Lymph].PDL1_mabb),Saturation of Anti-PD-L1 mAb clearance from the central compartment,alpha.GH -> null,(Vm/Durvalumab_MW)*alpha.GH/(Km*Vc_PDL1/Durvalumab_MW+alpha.GH),-[Blood-Lymph].PDL1_mabb  =  (Vm/Durvalumab_MW)*[Blood-Lymph].PDL1_mabb/(Km*Vc_PDL1/Durvalumab_MW+[Blood-Lymph].PDL1_mabb),-alpha.GH  =  (Vm/Durvalumab_MW)*alpha.GH/(Km*Vc_PDL1/Durvalumab_MW+alpha.GH)
25,Liv_Spln_GI.EffT_GI_f_Vasc -> Liv_Spln_GI.EffT_Liver_f_Vasc,(QC_GI - LC_GI)*Liv_Spln_GI.EffT_GI_f_Vasc/Vv_GI,Trafficking of Effector T cells from GI to Liver vasculature,gamma.DH -> gamma.DN,(QC_GI - LC_GI)*gamma.DH/Vv_GI,-Liv_Spln_GI.EffT_GI_f_Vasc  =  Liv_Spln_GI.EffT_Liver_f_Vasc = (QC_GI - LC_GI)*Liv_Spln_GI.EffT_GI_f_Vasc/Vv_GI,-gamma.DH  =  gamma.DN = (QC_GI - LC_GI)*gamma.DH/Vv_GI
26,Liv_Spln_GI.EffT_GI_f_Vasc -> null,EffT_Turnover*Liv_Spln_GI.EffT_GI_f_Vasc,Turnover of free Effector T cells in the GI vasculature,gamma.DH -> null,EffT_Turnover*gamma.DH,-Liv_Spln_GI.EffT_GI_f_Vasc  =  EffT_Turnover*Liv_Spln_GI.EffT_GI_f_Vasc,-gamma.DH  =  EffT_Turnover*gamma.DH
27,Liv_Spln_GI.EffT_Liver_AR_Vasc -> Liv_Spln_GI.EffT_LiverEx,J_Liver*Liv_Spln_GI.EffT_Liver_AR_Vasc,Extravasation of arrested Effector T cells from the Liver vasculature,gamma.DL -> gamma.DK,J_Liver*gamma.DL,-Liv_Spln_GI.EffT_Liver_AR_Vasc  =  Liv_Spln_GI.EffT_LiverEx = J_Liver*Liv_Spln_GI.EffT_Liver_AR_Vasc,-gamma.DL  =  gamma.DK = J_Liver*gamma.DL
28,Liv_Spln_GI.EffT_Liver_AR_Vasc -> null,EffT_Turnover*Liv_Spln_GI.EffT_Liver_AR_Vasc,Turnover of arrested Effector T cells in the Liver vasculature,gamma.DL -> null,EffT_Turnover*gamma.DL,-Liv_Spln_GI.EffT_Liver_AR_Vasc  =  EffT_Turnover*Liv_Spln_GI.EffT_Liver_AR_Vasc,-gamma.DL  =  EffT_Turnover*gamma.DL
29,Liv_Spln_GI.EffT_Liver_b_Vasc -> Liv_Spln_GI.EffT_Liver_AR_Vasc,AR_Liver*[Liv_Spln_GI].EffT_Liver_b_Vasc,Arrest of bound Effector T cells in the Liver vasculature,gamma.DM -> gamma.DL,AR_Liver*gamma.DM,-Liv_Spln_GI.EffT_Liver_b_Vasc  =  Liv_Spln_GI.EffT_Liver_AR_Vasc = AR_Liver*[Liv_Spln_GI].EffT_Liver_b_Vasc,-gamma.DM  =  gamma.DL = AR_Liver*gamma.DM
30,Liv_Spln_GI.EffT_Liver_b_Vasc -> Liv_Spln_GI.EffT_Liver_f_Vasc,kr_Periph*Liv_Spln_GI.EffT_Liver_b_Vasc,Detachment of bound Effector T cells in the Liver vasculature,gamma.DM -> gamma.DN,kr_Periph*gamma.DM,-Liv_Spln_GI.EffT_Liver_b_Vasc  =  Liv_Spln_GI.EffT_Liver_f_Vasc = kr_Periph*Liv_Spln_GI.EffT_Liver_b_Vasc,-gamma.DM  =  gamma.DN = kr_Periph*gamma.DM
31,Liv_Spln_GI.EffT_Liver_b_Vasc -> null,EffT_Turnover*Liv_Spln_GI.EffT_Liver_b_Vasc,Turnover of bound Effector T cells in the liver vasculature,gamma.DM -> null,EffT_Turnover*gamma.DM,-Liv_Spln_GI.EffT_Liver_b_Vasc  =  EffT_Turnover*Liv_Spln_GI.EffT_Liver_b_Vasc,-gamma.DM  =  EffT_Turnover*gamma.DM
32,Liv_Spln_GI.EffT_Liver_f_Vasc -> Lungs.EffT_f_LungsVasc,(QC_Liver - LC_Liver)*Liv_Spln_GI.EffT_Liver_f_Vasc/Vv_Liver,Trafficking of free Effector T cells from Liver to Lung vasculature,gamma.DN -> beta.DV,(QC_Liver - LC_Liver)*gamma.DN/Vv_Liver,-Liv_Spln_GI.EffT_Liver_f_Vasc  =  Lungs.EffT_f_LungsVasc = (QC_Liver - LC_Liver)*Liv_Spln_GI.EffT_Liver_f_Vasc/Vv_Liver,-gamma.DN  =  beta.DV = (QC_Liver - LC_Liver)*gamma.DN/Vv_Liver
33,Liv_Spln_GI.EffT_Liver_f_Vasc -> null,EffT_Turnover*Liv_Spln_GI.EffT_Liver_f_Vasc,Turnover of free Effector T cells in the liver vasculature,gamma.DN -> null,EffT_Turnover*gamma.DN,-Liv_Spln_GI.EffT_Liver_f_Vasc  =  EffT_Turnover*Liv_Spln_GI.EffT_Liver_f_Vasc,-gamma.DN  =  EffT_Turnover*gamma.DN
34,Liv_Spln_GI.EffT_LiverEx -> Lymph_Node.EffT_LN_ExRec,LC_Liver*Delta_Liver*Liv_Spln_GI.EffT_LiverEx/Vext_Liver,Trafficking of free Effector T cells from Liver to lymph node extravascular space,gamma.DK -> delta.DI,LC_Liver*Delta_Liver*gamma.DK/Vext_Liver,-Liv_Spln_GI.EffT_LiverEx  =  Lymph_Node.EffT_LN_ExRec = LC_Liver*Delta_Liver*Liv_Spln_GI.EffT_LiverEx/Vext_Liver,-gamma.DK  =  delta.DI = LC_Liver*Delta_Liver*gamma.DK/Vext_Liver
35,Liv_Spln_GI.EffT_LiverEx -> null,EffT_Turnover*Liv_Spln_GI.EffT_LiverEx,Turnover of Effector T cells in the Liver extravascular space,gamma.DK -> null,EffT_Turnover*gamma.DK,-Liv_Spln_GI.EffT_LiverEx  =  EffT_Turnover*Liv_Spln_GI.EffT_LiverEx,-gamma.DK  =  EffT_Turnover*gamma.DK
36,Liv_Spln_GI.EffT_Spleen_AR_Vasc -> Liv_Spln_GI.EffT_SpleenEx,J_Spleen*Liv_Spln_GI.EffT_Spleen_AR_Vasc,Extravasation of arrested Effector T cells from the Spleen vasculature,gamma.DR -> gamma.DQ,J_Spleen*gamma.DR,-Liv_Spln_GI.EffT_Spleen_AR_Vasc  =  Liv_Spln_GI.EffT_SpleenEx = J_Spleen*Liv_Spln_GI.EffT_Spleen_AR_Vasc,-gamma.DR  =  gamma.DQ = J_Spleen*gamma.DR
37,Liv_Spln_GI.EffT_Spleen_AR_Vasc -> null,EffT_Turnover*Liv_Spln_GI.EffT_Spleen_AR_Vasc,Turnover of arrested Effector T cells in the Spleen vasculature,gamma.DR -> null,EffT_Turnover*gamma.DR,-Liv_Spln_GI.EffT_Spleen_AR_Vasc  =  EffT_Turnover*Liv_Spln_GI.EffT_Spleen_AR_Vasc,-gamma.DR  =  EffT_Turnover*gamma.DR
38,Liv_Spln_GI.EffT_Spleen_b_Vasc -> Liv_Spln_GI.EffT_Spleen_AR_Vasc,AR_Spleen*[Liv_Spln_GI].EffT_Spleen_b_Vasc,Arrest of bound Effector T cells in the Spleen vasculature,gamma.DS -> gamma.DR,AR_Spleen*gamma.DS,-Liv_Spln_GI.EffT_Spleen_b_Vasc  =  Liv_Spln_GI.EffT_Spleen_AR_Vasc = AR_Spleen*[Liv_Spln_GI].EffT_Spleen_b_Vasc,-gamma.DS  =  gamma.DR = AR_Spleen*gamma.DS
39,Liv_Spln_GI.EffT_Spleen_b_Vasc -> Liv_Spln_GI.EffT_Spleen_f_Vasc,kr_Periph*Liv_Spln_GI.EffT_Spleen_b_Vasc,Detachment of bound Effector T cells in the Spleen vasculature,gamma.DS -> gamma.DT,kr_Periph*gamma.DS,-Liv_Spln_GI.EffT_Spleen_b_Vasc  =  Liv_Spln_GI.EffT_Spleen_f_Vasc = kr_Periph*Liv_Spln_GI.EffT_Spleen_b_Vasc,-gamma.DS  =  gamma.DT = kr_Periph*gamma.DS
40,Liv_Spln_GI.EffT_Spleen_b_Vasc -> null,EffT_Turnover*Liv_Spln_GI.EffT_Spleen_b_Vasc,Turnover of bound Effector T cells in the Spleen vasculature,gamma.DS -> null,EffT_Turnover*gamma.DS,-Liv_Spln_GI.EffT_Spleen_b_Vasc  =  EffT_Turnover*Liv_Spln_GI.EffT_Spleen_b_Vasc,-gamma.DS  =  EffT_Turnover*gamma.DS
41,Liv_Spln_GI.EffT_Spleen_f_Vasc + Liv_Spln_GI.Spleen_Free_Sites -> Liv_Spln_GI.EffT_Spleen_b_Vasc + Liv_Spln_GI.Spleen_Free_Sites,kf_Spleen*Liv_Spln_GI.Spleen_Free_Sites*[Liv_Spln_GI].EffT_Spleen_f_Vasc/Vv_Spleen,Binding or free Effector T cells to the Spleen vasculature,gamma.DT + gamma.HL -> gamma.DS + gamma.HL,kf_Spleen*gamma.HL*gamma.DT/Vv_Spleen,-Liv_Spln_GI.EffT_Spleen_f_Vasc  = - Liv_Spln_GI.Spleen_Free_Sites  =  Liv_Spln_GI.EffT_Spleen_b_Vasc  =  Liv_Spln_GI.Spleen_Free_Sites = kf_Spleen*Liv_Spln_GI.Spleen_Free_Sites*[Liv_Spln_GI].EffT_Spleen_f_Vasc/Vv_Spleen,-gamma.DT  = - gamma.HL  =  gamma.DS  =  gamma.HL = kf_Spleen*gamma.HL*gamma.DT/Vv_Spleen
42,Liv_Spln_GI.EffT_Spleen_f_Vasc -> Liv_Spln_GI.EffT_Liver_f_Vasc,(QC_Spleen - LC_Spleen)*Liv_Spln_GI.EffT_Spleen_f_Vasc/Vv_Spleen,Trafficking of free Effector T cells from Spleen to Liver vasculature,gamma.DT -> gamma.DN,(QC_Spleen - LC_Spleen)*gamma.DT/Vv_Spleen,-Liv_Spln_GI.EffT_Spleen_f_Vasc  =  Liv_Spln_GI.EffT_Liver_f_Vasc = (QC_Spleen - LC_Spleen)*Liv_Spln_GI.EffT_Spleen_f_Vasc/Vv_Spleen,-gamma.DT  =  gamma.DN = (QC_Spleen - LC_Spleen)*gamma.DT/Vv_Spleen
