reaction number,reaction,reaction rate,simplified_reaction
58,Lungs.EffT_r_LungsVasc -> null,E_Lungs*Lungs.EffT_r_LungsVasc,beta.DX -> null
59,Lymph_Node.[PNT-Tr_CD80] + Lymph_Node.[Tr-PNT_PDL1] <-> Lymph_Node.[TrPNT_PDL1-CD80],[kon_PDL1_CD80]*Lymph_Node.[PNT-Tr_CD80]*Lymph_Node.[Tr-PNT_PDL1]/[Vol_Cell-Rec_Tr-PNT] -[koff_PDL1_CD80]*Lymph_Node.[TrPNT_PDL1-CD80],delta.[GM] + delta.[KY] <-> delta.[LJ]
60,Lymph_Node.[PNT-Tr_CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.[PNT-Tr_CD80]+[TrPNT_PDL1-CD80]),delta.[GM] -> null
61,Lymph_Node.[PNT-Tr_PD1] + Lymph_Node.[Tr-PNT_PDL1] <-> Lymph_Node.[TrPNT_PDL1-PD1],[kon_PD1_PDL1]*Lymph_Node.[PNT-Tr_PD1]*Lymph_Node.[Tr-PNT_PDL1]/[Vol_Cell-Rec_Tr-PNT] -[koff_PD1_PDL1]*Lymph_Node.[TrPNT_PDL1-PD1],delta.[GN] + delta.[KY] <-> delta.[LK]
62,Lymph_Node.[PNT-Tr_PD1] + Lymph_Node.PD1_mab <-> Lymph_Node.PNTTr_PD1_aPD1,[kon_PD1-PD1mAb]*Lymph_Node.[PNT-Tr_PD1]*Lymph_Node.PD1_mab/Vtdln - [koff_PD1-PD1mAb]*Lymph_Node.PNTTr_PD1_aPD1,delta.[GN] + delta.FD <-> delta.GR
63,Lymph_Node.[PNT-Tr_PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.[PNT-Tr_PD1]+PNTTr_PD1_aPD1+[TrPNT_PDL1-PD1]),delta.[GN] -> null
64,Lymph_Node.[PNT-Tr_PDL1] + Lymph_Node.PDL1_mab <-> Lymph_Node.PNTTr_PDL1_aPDL1,[kon_PDL1-PDL1mAb]*Lymph_Node.[PNT-Tr_PDL1]*Lymph_Node.PDL1_mab/Vtdln - [koff_PDL1-PDL1mAb]*Lymph_Node.PNTTr_PDL1_aPDL1,delta.[GO] + delta.GB <-> delta.GS
65,Lymph_Node.[PNT-Tr_PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.[PNT-Tr_PDL1]+PNTTr_PDL1_aPDL1+[TrPNT_PD1-L1]),delta.[GO] -> null
66,Lymph_Node.[TregLN-NT] + Lymph_Node.Naive_T -> null,[Treg:T_IntTime]*Lymph_Node.[TregLN-NT],delta.[LM-NT] + delta.EO -> null
67,Lymph_Node.[TregLN-NT] -> null,[Treg:T_IntTime]*Lymph_Node.[TregLN-NT],delta.[LM-NT] -> null
68,Lymph_Node.[TregLN-PNT] + Lymph_Node.Primed_Naive_T -> null,[Treg:T_IntTime]*Lymph_Node.[TregLN-PNT]*[Sig_TrPNT=PD1/L1/CD80],delta.[LM-PNT] + delta.HH -> null
69,Lymph_Node.[TregLN-PNT] -> null,[Treg:T_IntTime]*Lymph_Node.[TregLN-PNT]*(1-[Sig_TrPNT=PD1/L1/CD80]),delta.[LM-PNT] -> null
70,Lymph_Node.[TregLN-PNT1] -> Lymph_Node.[PNT-Tr_CD80] + Lymph_Node.[TregLN-PNT1],[Exp_CD28/80/86/PD1/L1/L2]*Lymph_Node.[TregLN-PNT1]*(([%CD80_receptor_level_PNT]*[CD80_receptors-per-Tcell])/[Avagadro's_Num])*(1/Tr_per_T_cell),delta.[LM-PNT1] -> delta.[GM] + delta.[LM-PNT1]
71,Lymph_Node.[TregLN-PNT1] -> Lymph_Node.[PNT-Tr_PD1] + Lymph_Node.[TregLN-PNT1],[Exp_CD28/80/86/PD1/L1/L2]*Lymph_Node.[TregLN-PNT1]*(([%PD1_receptor_level_PNT]*[PD1_receptors-per-Tcell])/[Avagadro's_Num])*(1/Tr_per_T_cell),delta.[LM-PNT1] -> delta.[GN] + delta.[LM-PNT1]
72,Lymph_Node.[TregLN-PNT1] -> Lymph_Node.[PNT-Tr_PDL1] + Lymph_Node.[TregLN-PNT1],[Exp_CD28/80/86/PD1/L1/L2]*Lymph_Node.[TregLN-PNT1]*(([%PDL1_receptor_level_PNT]*[PDL1_receptors-per-Tcell])/[Avagadro's_Num])*(1/Tr_per_T_cell),delta.[LM-PNT1] -> delta.[GO] + delta.[LM-PNT1]
73,Lymph_Node.[TregLN-PNT1] -> Lymph_Node.[Tr-PNT_PD1] + Lymph_Node.[TregLN-PNT1],[Exp_CD28/80/86/PD1/L1/L2]*Lymph_Node.[TregLN-PNT1]*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*(1/T_per_Tr_cell),delta.[LM-PNT1] -> delta.[KX] + delta.[LM-PNT1]
74,Lymph_Node.[TregLN-PNT1] -> Lymph_Node.[Tr-PNT_PDL1] + Lymph_Node.[TregLN-PNT1],[Exp_CD28/80/86/PD1/L1/L2]*Lymph_Node.[TregLN-PNT1]*([PDL1_receptors-per-Tcell]/[Avagadro's_Num])*(1/T_per_Tr_cell),delta.[LM-PNT1] -> delta.[KY] + delta.[LM-PNT1]
75,Lymph_Node.[Tr-mAPC_CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.[Tr-mAPC_CD80]+TrALN_CT_CD80),delta.[KZ] -> null
76,Lymph_Node.[Tr-mAPC_CD86] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.[Tr-mAPC_CD86]+TrALN_CT_CD86),delta.[LA] -> null
77,Lymph_Node.[Tr-mAPC_CTLA4] + Lymph_Node.[Tr-mAPC_CD80] <-> Lymph_Node.TrALN_CT_CD80,[kon_CTLA4_CD80]*Lymph_Node.[Tr-mAPC_CD80]*Lymph_Node.[Tr-mAPC_CTLA4]/[Vol_Cell-Rec_Tr-mAPC] -[koff_CTLA4_CD80]*Lymph_Node.TrALN_CT_CD80,delta.[LB] + delta.[KZ] <-> delta.LC
78,Lymph_Node.[Tr-mAPC_CTLA4] + Lymph_Node.[Tr-mAPC_CD86] <-> Lymph_Node.TrALN_CT_CD86,[kon_CTLA4_CD86]*Lymph_Node.[Tr-mAPC_CD86]*Lymph_Node.[Tr-mAPC_CTLA4]/[Vol_Cell-Rec_Tr-mAPC]-[koff_CTLA4_CD86]*Lymph_Node.TrALN_CT_CD86,delta.[LB] + delta.[LA] <-> delta.LD
79,Lymph_Node.[Tr-mAPC_CTLA4] + Lymph_Node.CTLA4_mab <-> Lymph_Node.TrALN_CT_aCT,kon_CTLA4mAb_CTLA4*Lymph_Node.[Tr-mAPC_CTLA4]*Lymph_Node.CTLA4_mab/Vtdln -koff_CTLA4mAb_CTLA4*Lymph_Node.TrALN_CT_aCT,delta.[LB] + delta.CD <-> delta.LE
80,Lymph_Node.[Tr-mAPC_CTLA4] -> null,[Exp_CTLA4]*(Lymph_Node.[Tr-mAPC_CTLA4]+[TrALN_CT_aCT]+[TrALN_CT_CD80]+[TrALN_CT_CD86]),delta.[LB] -> null
81,Lymph_Node.[Tr-PNT_PD1] + Lymph_Node.[PNT-Tr_PDL1] <-> Lymph_Node.[TrPNT_PD1-L1],[kon_PD1_PDL1]*Lymph_Node.[Tr-PNT_PD1]*Lymph_Node.[PNT-Tr_PDL1]/[Vol_Cell-Rec_Tr-PNT] -[koff_PD1_PDL1]*Lymph_Node.[TrPNT_PD1-L1],delta.[KX] + delta.[GO] <-> delta.[LH]
82,Lymph_Node.[Tr-PNT_PD1] + Lymph_Node.PD1_mab <-> Lymph_Node.TrPNT_PD1_aPD1,[kon_PD1-PD1mAb]*Lymph_Node.[Tr-PNT_PD1]*Lymph_Node.PD1_mab/Vtdln - [koff_PD1-PD1mAb]*Lymph_Node.TrPNT_PD1_aPD1,delta.[KX] + delta.FD <-> delta.LI
83,Lymph_Node.[Tr-PNT_PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.[Tr-PNT_PD1]+TrPNT_PD1_aPD1+[TrPNT_PD1-L1]),delta.[KX] -> null
84,Lymph_Node.[Tr-PNT_PDL1] + Lymph_Node.PDL1_mab <-> Lymph_Node.TrPNT_PDL1_aPDL1,[kon_PDL1-PDL1mAb]*Lymph_Node.[Tr-PNT_PDL1]*Lymph_Node.PDL1_mab/Vtdln - [koff_PDL1-PDL1mAb]*Lymph_Node.TrPNT_PDL1_aPDL1,delta.[KY] + delta.GB <-> delta.LL
85,Lymph_Node.[Tr-PNT_PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.[Tr-PNT_PDL1]+TrPNT_PDL1_aPDL1+[TrPNT_PDL1-PD1]+[TrPNT_PDL1-CD80]),delta.[KY] -> null
86,Lymph_Node.APCLN + Lymph_Node.C_DebrisLN -> Lymph_Node.mAPC,Phago_Debris*Lymph_Node.APCLN*Lymph_Node.C_DebrisLN,delta.AA + delta.CM -> delta.ML
87,Lymph_Node.C_DebrisLN -> null,Debris_Decay*Lymph_Node.C_DebrisLN,delta.CM -> null
88,Lymph_Node.CTLA4_mab -> [Blood-Lymph].CTLA4_mabB,Q_L/VL*Lymph_Node.CTLA4_mab,delta.CD -> alpha.CE
89,Lymph_Node.CTLA4_mab + Lymph_Node.PNT_CTLA4 <-> Lymph_Node.CTLA4_mAb_CTLA4,kon_CTLA4mAb_CTLA4*Lymph_Node.CTLA4_mab*Lymph_Node.PNT_CTLA4/Vtdln-koff_CTLA4mAb_CTLA4*Lymph_Node.CTLA4_mAb_CTLA4,delta.CD + delta.GU <-> delta.CC
90,Lymph_Node.CTLA4_mAb_CTLA4 -> null,Endo_CTLA4*Lymph_Node.CTLA4_mAb_CTLA4,delta.CC -> null
91,Lymph_Node.Effector_T -> null,EffT_Migrate*Lymph_Node.Effector_T,delta.DY -> null
92,Lymph_Node.EffT_LN_ExRec -> Lungs.EffT_f_LungsVasc,LC_LN*Delta_LN*Lymph_Node.EffT_LN_ExRec/Vext_LN,delta.DI -> beta.DV
93,Lymph_Node.EffT_LN_ExRec -> null,EffT_Turnover*Lymph_Node.EffT_LN_ExRec,delta.DI -> null
94,Lymph_Node.EffT_LN_f_Vasc -> Lungs.EffT_f_LungsVasc,(QC_LN - LC_LN)*Lymph_Node.EffT_LN_f_Vasc/Vv_LN,delta.DJ -> beta.DV
95,Lymph_Node.EffT_LN_f_Vasc -> null,EffT_Turnover*Lymph_Node.EffT_LN_f_Vasc,delta.DJ -> null
96,Lymph_Node.mAPC -> Lymph_Node.mAPC_CD80 + Lymph_Node.mAPC,Exp_All_mAPCLN*(Lymph_Node.mAPC*([CD80_receptors-per-mAPC]/[Avagadro's_Num])),delta.ML -> delta.MO + delta.ML
97,Lymph_Node.mAPC -> Lymph_Node.mAPC_CD86 + Lymph_Node.mAPC,Exp_All_mAPCLN*(Lymph_Node.mAPC*([CD86_receptors-per-mAPC]/[Avagadro's_Num])),delta.ML -> delta.MP + delta.ML
98,Lymph_Node.mAPC -> Lymph_Node.mAPC_PD1 + Lymph_Node.mAPC,Exp_All_mAPCLN*Lymph_Node.mAPC*([PD1_receptors-per-mAPC]/[Avagadro's_Num]),delta.ML -> delta.MZ + delta.ML
99,Lymph_Node.mAPC -> Lymph_Node.mAPC_PDL1 + Lymph_Node.mAPC,Exp_All_mAPCLN*Lymph_Node.mAPC*([PDL1_receptors-per-mAPC]/[Avagadro's_Num]),delta.ML -> delta.NA + delta.ML
100,Lymph_Node.mAPC -> Lymph_Node.mAPC_PDL2 + Lymph_Node.mAPC,Exp_All_mAPCLN*Lymph_Node.mAPC*([PDL2_receptors-per-mAPC]/[Avagadro's_Num]),delta.ML -> delta.NB + delta.ML
101,Lymph_Node.mAPC -> null,kf_APC_turnover*Lymph_Node.mAPC,delta.ML -> null
102,Lymph_Node.mAPC -> null,kf_TregLNS_Inact*Lymph_Node.mAPC*CTLA4Sig_Secrete,delta.ML -> null
103,Lymph_Node.mAPC_CD80 -> null,Exp_All_mAPCLN*(Lymph_Node.mAPC_CD80),delta.MO -> null
104,Lymph_Node.mAPC_CD86 -> null,Exp_All_mAPCLN*(Lymph_Node.mAPC_CD86),delta.MP -> null
105,Lymph_Node.mAPC_Int_P1 -> Lymph_Node.mAPC_Int_P1 + Lymph_Node.mAPC_Int_P1_CD80,[Exp_CD28/80/86/PD1/L1/L2]*((Lymph_Node.mAPC_CD80)*(Lymph_Node.mAPC_Int_P1/(Lymph_Node.mAPC+ 1E-100*mole)))*(1/T_cells_per_mAPC),delta.MQ -> delta.MQ + delta.MR
106,Lymph_Node.mAPC_Int_P1 -> Lymph_Node.mAPC_Int_P1 + Lymph_Node.mAPC_Int_P1_CD86,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.mAPC_CD86*(Lymph_Node.mAPC_Int_P1/(Lymph_Node.mAPC+ 1E-100*mole)))*(1/T_cells_per_mAPC),delta.MQ -> delta.MQ + delta.MS
107,Lymph_Node.mAPC_Int_P1_CD80 -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.mAPC_Int_P1_CD80 + POS_Sig_NT_CD80),delta.MR -> null
108,Lymph_Node.mAPC_Int_P1_CD86 -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.mAPC_Int_P1_CD86 + POS_Sig_NT_CD86),delta.MS -> null
109,Lymph_Node.mAPC_Int_P2 -> Lymph_Node.mAPC_Int_P2_CD80 + Lymph_Node.mAPC_Int_P2,[Exp_CD28/80/86/PD1/L1/L2]*((Lymph_Node.mAPC_CD80)*(Lymph_Node.mAPC_Int_P2/(Lymph_Node.mAPC+1E-100*mole)))*(1/T_cells_per_mAPC),delta.MT -> delta.MU + delta.MT
110,Lymph_Node.mAPC_Int_P2 -> Lymph_Node.mAPC_Int_P2_CD86 + Lymph_Node.mAPC_Int_P2,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.mAPC_CD86*(Lymph_Node.mAPC_Int_P2/(Lymph_Node.mAPC+1E-100*mole)))*(1/T_cells_per_mAPC),delta.MT -> delta.MV + delta.MT
111,Lymph_Node.mAPC_Int_P2 -> Lymph_Node.mAPC_Int_P2_PD1 + Lymph_Node.mAPC_Int_P2,[Exp_CD28/80/86/PD1/L1/L2]*Lymph_Node.mAPC_PD1*(Lymph_Node.mAPC_Int_P2/(Lymph_Node.mAPC+1E-100*mole))*(1/T_cells_per_mAPC),delta.MT -> delta.MW + delta.MT
112,Lymph_Node.mAPC_Int_P2 -> Lymph_Node.mAPC_Int_P2_PDL1 + Lymph_Node.mAPC_Int_P2,[Exp_CD28/80/86/PD1/L1/L2]*Lymph_Node.mAPC_PDL1*(Lymph_Node.mAPC_Int_P2/(Lymph_Node.mAPC+1E-100*mole))*(1/T_cells_per_mAPC),delta.MT -> delta.MX + delta.MT
113,Lymph_Node.mAPC_Int_P2 -> Lymph_Node.mAPC_Int_P2_PDL2 + Lymph_Node.mAPC_Int_P2,[Exp_CD28/80/86/PD1/L1/L2]*Lymph_Node.mAPC_PDL2*(Lymph_Node.mAPC_Int_P2/(Lymph_Node.mAPC+1E-100*mole))*(1/T_cells_per_mAPC),delta.MT -> delta.MY + delta.MT
114,Lymph_Node.mAPC_Int_P2_CD80 + Lymph_Node.PNT_CTLA4 <-> Lymph_Node.NEG_Sig_PNT_CD80,[kon_CTLA4_CD80]*Lymph_Node.mAPC_Int_P2_CD80*Lymph_Node.PNT_CTLA4/([Volume_PNT-Receptor_Int])-[koff_CTLA4_CD80]*Lymph_Node.NEG_Sig_PNT_CD80,delta.MU + delta.GU <-> delta.EK
